	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
26	1251801023	NA	NA	NA	NA	NA	NA	NA	NA	NA	50009704	7.5	49914470	7.48	99.81	44.67	25452	69782	HG	NA
27	1251801024	NA	NA	NA	NA	NA	NA	NA	NA	NA	36193138	5.43	36158614	5.42	99.9	46.09	18442	16082	HG	NA
28	1251801025	NA	NA	NA	NA	NA	NA	NA	NA	NA	52948888	7.94	52915172	7.93	99.94	45.12	28368	5348	HG	NA
29	L4_102_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L4_102_000M1)	ASSEMBLY	MEGAHIT	108.2	1.80333333333333	1301.9	2347.75966666667	9.1	105414	79363968	11.8	78573212	11.72	99	47.74	790658	98	Lou_HG	28.8533333333333
30	L4_171_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L4_171_000M1)	ASSEMBLY	MEGAHIT	107.016666666667	1.78361111111111	1292.6	2305.49572222222	9.3	105412	80167552	11.94	79326746	11.86	98.95	47.32	840722	84	Lou_HG	28.5377777777778
31	L4_174_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L4_174_000M1)	ASSEMBLY	MEGAHIT	86.4333333333333	1.44055555555556	1314.6	1893.75433333333	7.7	105415	66485270	9.9	65770486	9.83	98.92	50.99	714706	78	Lou_HG	23.0488888888889
32	L5_022_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L5_022_000M1)	ASSEMBLY	MEGAHIT	102.066666666667	1.70111111111111	1316.7	2239.853	10.5	105413	91679878	13.6	90281856	13.46	98.48	46.18	1397876	146	Lou_HG	27.2177777777778
33	L5_038_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L5_038_000M1)	ASSEMBLY	MEGAHIT	120.883333333333	2.01472222222222	1348.4	2716.65144444444	9.2	105417	80346560	11.93	79176672	11.82	98.54	48.02	1169732	156	Lou_HG	32.2355555555556
34	L5_047_1096G1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L5_047_1096G1)	ASSEMBLY	MEGAHIT	134.916666666667	2.24861111111111	1344.7	3023.70736111111	12.1	105423	105350914	15.63	103453088	15.45	98.2	49.82	1896474	1352	Lou_HG	35.9777777777778
35	L5_079_000M1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L5_079_000M1)	ASSEMBLY	MEGAHIT	125.45	2.09083333333333	1356.3	2835.79725	11.5	105416	100637008	14.94	99092950	14.79	98.47	47.27	1542858	1200	Lou_HG	33.4533333333333
36	L5_079_1094G1	NFCORE_METASSEMBLY:METASSEMBLY:ASSEMBLY:MEGAHIT (L5_079_1094G1)	ASSEMBLY	MEGAHIT	101.416666666667	1.69027777777778	1351.7	2284.74847222222	9.3	105425	81088356	12.01	79751178	11.89	98.35	48.11	1336968	210	Lou_HG	27.0444444444444
