	ID	whole_task	module	simple_task	realtime_M	realtime_h	cpu	cpu_time	peak_rss_G	slurmID	raw_reads	raw_bases	clean_reads	clean_bases	effective_rate(%)	C(%)	lq_reads	host_reads	Group	cpu_hour
25	1251801022	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801022)	BINNER	CHECKM2	5.26666666666667	0.0877777777777778	965.7	84.767	10.4	106681	40386366	6.06	40362086	6.05	99.94	43.6	15128	9152	HG	1.40444444444444
26	1251801023	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801023)	BINNER	CHECKM2	6.7	0.111666666666667	1127.9	125.948833333333	12.8	106682	50009704	7.5	49914470	7.48	99.81	44.67	25452	69782	HG	1.78666666666667
27	1251801024	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801024)	BINNER	CHECKM2	6.25	0.104166666666667	1095.4	114.104166666667	12.2	106683	36193138	5.43	36158614	5.42	99.9	46.09	18442	16082	HG	1.66666666666667
28	1251801025	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (1251801025)	BINNER	CHECKM2	7.13333333333333	0.118888888888889	1167.8	138.838444444444	13.2	106687	52948888	7.94	52915172	7.93	99.94	45.12	28368	5348	HG	1.90222222222222
29	L4_102_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L4_102_000M1)	BINNER	CHECKM2	12.7833333333333	0.213055555555556	1287.8	274.372944444444	14	105765	79363968	11.8	78573212	11.72	99	47.74	790658	98	Lou_HG	3.40888888888889
30	L4_171_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L4_171_000M1)	BINNER	CHECKM2	10.7333333333333	0.178888888888889	1257.8	225.006444444444	13.2	105761	80167552	11.94	79326746	11.86	98.95	47.32	840722	84	Lou_HG	2.86222222222222
31	L4_174_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L4_174_000M1)	BINNER	CHECKM2	9.98333333333333	0.166388888888889	1255.6	208.917888888889	13.6	105759	66485270	9.9	65770486	9.83	98.92	50.99	714706	78	Lou_HG	2.66222222222222
32	L5_022_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L5_022_000M1)	BINNER	CHECKM2	8.46666666666667	0.141111111111111	1246.4	175.880888888889	13.7	105755	91679878	13.6	90281856	13.46	98.48	46.18	1397876	146	Lou_HG	2.25777777777778
33	L5_038_000M1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L5_038_000M1)	BINNER	CHECKM2	10.6166666666667	0.176944444444444	1285.4	227.444388888889	13.7	105747	80346560	11.93	79176672	11.82	98.54	48.02	1169732	156	Lou_HG	2.83111111111111
34	L5_047_1096G1	NFCORE_METASSEMBLY:METASSEMBLY:BINNER:CHECKM2 (L5_047_1096G1)	BINNER	CHECKM2	12.0333333333333	0.200555555555556	1312.5	263.229166666667	13.6	105748	105350914	15.63	103453088	15.45	98.2	49.82	1896474	1352	Lou_HG	3.20888888888889
