sampleID	task	realtime_M	cpu	peak_rss_G
hg_sample_0	MAXBIN2	60.71666666666667	644.3	2.3
hg_sample_16	MAXBIN2	44.55	594.7	2.1
hg_sample_15	MAXBIN2	52.5	709.4	1.6
hg_sample_19	MAXBIN2	43.75	662.4	1.4
hg_sample_17	MAXBIN2	53.55	687.0	1.3
hg_sample_5	MAXBIN2	19.916666666666668	960.7	4.3
hg_sample_4	MAXBIN2	23.166666666666668	742.4	2.5
hg_sample_3	MAXBIN2	27.216666666666665	818.2	2.9
hg_sample_2	MAXBIN2	40.2	758.1	3.0
hg_sample_1	MAXBIN2	52.31666666666667	602.1	4.2
hg_sample_18	MAXBIN2	64.01666666666667	515.0	2.1
hg_sample_6	MAXBIN2	31.083333333333332	870.1	1.9
hg_sample_9	MAXBIN2	30.25	759.8	2.8
hg_sample_7	MAXBIN2	34.36666666666667	771.5	1.3
hg_sample_8	MAXBIN2	46.75	725.1	1.8
hg_sample_11	METABAT2	1.6333333333333333	907.5	0.18857421875
hg_sample_12	METABAT2	0.15	775.1	0.13310546875
hg_sample_10	METABAT2	0.05	890.2	0.20556640625
hg_sample_10	CONCOCT	6.333333333333333	627.0	0.32041015625
hg_sample_12	CONCOCT	6.983333333333333	776.7	0.2759765625
hg_sample_11	CONCOCT	10.1	1006.1	0.3185546875
hg_sample_11	SEMIBIN2	9.566666666666666	375.8	19.0
hg_sample_14	METABAT2	5.683333333333334	893.3	0.25244140625
hg_sample_12	SEMIBIN2	9.3	332.3	1.7
hg_sample_14	SEMIBIN2	9.716666666666667	425.7	47.2
hg_sample_13	METABAT2	4.233333333333333	907.5	0.2365234375
hg_sample_10	SEMIBIN2	11.816666666666666	459.4	2.1
hg_sample_16	METABAT2	4.633333333333333	871.1	0.294921875
hg_sample_13	SEMIBIN2	10.483333333333333	402.8	38.1
hg_sample_15	METABAT2	4.633333333333333	900.0	0.2580078125
hg_sample_0	METABAT2	3.75	886.2	0.28359375
hg_sample_15	SEMIBIN2	10.433333333333334	419.9	42.5
hg_sample_16	SEMIBIN2	12.133333333333333	461.5	40.0
hg_sample_16	CONCOCT	15.85	1126.7	0.43994140625
hg_sample_0	CONCOCT	13.05	957.0	0.39091796875
hg_sample_0	SEMIBIN2	12.25	428.3	31.6
hg_sample_13	CONCOCT	24.816666666666666	1210.1	0.42529296875
hg_sample_14	CONCOCT	32.3	1327.7	0.42529296875
hg_sample_15	CONCOCT	29.483333333333334	1332.7	0.4318359375
hg_sample_17	METABAT2	3.5666666666666664	788.5	0.3162109375
hg_sample_17	CONCOCT	11.4	989.7	0.41552734375
hg_sample_12	METABINNER	47.38333333333333	276.8	7.0
hg_sample_17	SEMIBIN2	11.666666666666666	437.6	29.7
hg_sample_11	METABINNER	56.333333333333336	308.7	3.4
hg_sample_18	METABAT2	5.5	790.1	0.3947265625
hg_sample_12	COMEBIN	60.78333333333333	468.6	13.4
hg_sample_10	METABINNER	61.483333333333334	335.7	4.3
hg_sample_18	CONCOCT	16.416666666666668	1143.1	0.43662109375
hg_sample_18	SEMIBIN2	13.883333333333333	468.9	38.4
hg_sample_19	METABAT2	5.05	874.5	0.280078125
hg_sample_19	SEMIBIN2	11.35	421.9	46.0
hg_sample_10	COMEBIN	80.63333333333334	509.7	13.8
hg_sample_19	CONCOCT	21.866666666666667	1235.8	0.4306640625
hg_sample_1	METABAT2	4.55	798.4	0.33017578125
hg_sample_14	METABINNER	84.18333333333334	320.3	2.1
hg_sample_1	CONCOCT	9.7	882.3	0.39697265625
hg_sample_15	METABINNER	82.56666666666666	315.7	2.3
hg_sample_4	METABAT2	0.15	754.4	0.19091796875
hg_sample_4	CONCOCT	7.15	798.8	0.33232421875
hg_sample_13	METABINNER	88.96666666666667	311.1	2.2
hg_sample_1	SEMIBIN2	12.483333333333333	432.1	31.1
hg_sample_2	METABAT2	1.1166666666666667	879.4	0.1787109375
hg_sample_2	CONCOCT	6.3	557.0	0.3205078125
hg_sample_4	SEMIBIN2	12.466666666666667	360.8	10.7
hg_sample_5	METABAT2	0.13333333333333333	709.0	0.10478515625
hg_sample_5	CONCOCT	3.45	271.9	0.245703125
hg_sample_2	SEMIBIN2	9.616666666666667	342.2	16.7
hg_sample_5	SEMIBIN2	7.333333333333333	313.4	1.7
hg_sample_3	METABAT2	0.06666666666666667	870.1	0.17548828125
hg_sample_0	METABINNER	101.98333333333333	250.7	4.0
hg_sample_3	CONCOCT	7.683333333333334	862.4	0.25791015625
hg_sample_16	METABINNER	107.8	281.6	3.7
hg_sample_11	COMEBIN	124.95	637.1	14.3
hg_sample_3	SEMIBIN2	12.95	326.8	12.2
hg_sample_19	METABINNER	76.0	368.8	2.1
hg_sample_4	METABINNER	53.35	303.2	5.8
hg_sample_17	METABINNER	113.83333333333333	309.4	2.6
hg_sample_5	METABINNER	52.75	178.0	3.9
hg_sample_2	METABINNER	70.48333333333333	283.9	4.6
hg_sample_5	COMEBIN	57.6	497.7	13.7
hg_sample_18	METABINNER	106.13333333333334	366.9	3.7
hg_sample_3	METABINNER	50.9	326.5	5.4
hg_sample_7	CONCOCT	26.533333333333335	1319.0	0.33359375
hg_sample_1	METABINNER	104.4	258.5	4.0
hg_sample_2	COMEBIN	101.8	595.1	14.2
hg_sample_4	COMEBIN	106.06666666666666	607.1	14.0
hg_sample_3	COMEBIN	102.03333333333333	583.9	14.1
hg_sample_7	METABINNER	68.3	280.7	1.8
hg_sample_15	COMEBIN	220.26666666666668	682.7	14.7
hg_sample_16	COMEBIN	232.55	679.0	14.6
hg_sample_13	COMEBIN	236.2	676.4	14.7
hg_sample_1	COMEBIN	208.6	677.3	14.5
hg_sample_14	COMEBIN	307.06666666666666	719.0	14.7
hg_sample_18	COMEBIN	271.95	680.9	14.6
hg_sample_6	METABINNER	71.23333333333333	282.2	2.6
hg_sample_0	COMEBIN	358.2	712.9	14.5
hg_sample_5	BINNY	273.4166666666667	65.4	0.8087890625
hg_sample_12	BINNY	383.6666666666667	70.2	0.76845703125
hg_sample_9	METABINNER	70.21666666666667	288.0	4.7
hg_sample_8	METABINNER	76.6	305.8	2.4
hg_sample_7	COMEBIN	238.61666666666667	714.3	14.3
hg_sample_7	SEMIBIN2	7.383333333333334	352.2	24.0
hg_sample_7	METABAT2	2.066666666666667	878.9	0.17705078125
hg_sample_19	COMEBIN	355.53333333333336	734.7	14.8
hg_sample_6	METABAT2	0.5333333333333333	791.9	0.18271484375
hg_sample_9	COMEBIN	113.41666666666667	577.2	13.9
hg_sample_6	COMEBIN	128.06666666666666	631.6	14.0
hg_sample_9	METABAT2	0.05	823.9	0.19775390625
hg_sample_6	CONCOCT	6.616666666666667	765.6	0.3033203125
hg_sample_6	SEMIBIN2	9.9	491.2	8.9
hg_sample_9	CONCOCT	7.633333333333333	812.5	0.28056640625
hg_sample_8	METABAT2	4.233333333333333	804.6	0.2130859375
hg_sample_17	COMEBIN	392.23333333333335	719.3	14.5
hg_sample_8	SEMIBIN2	8.8	393.9	33.6
hg_sample_9	SEMIBIN2	10.516666666666667	391.3	2.1
hg_sample_8	CONCOCT	25.8	1313.0	0.341796875
hg_sample_11	BINNY	482.68333333333334	75.4	2.0
hg_sample_4	BINNY	471.8	69.7	1.3
hg_sample_10	BINNY	561.3666666666667	75.0	1.0
hg_sample_3	BINNY	470.9	73.4	1.1
hg_sample_2	BINNY	510.95	73.6	1.5
hg_sample_8	COMEBIN	305.3	720.1	14.5
hg_sample_14	BINNY	640.7666666666667	78.9	2.3
hg_sample_13	BINNY	636.7166666666667	79.4	2.2
hg_sample_15	BINNY	639.7666666666667	79.5	2.1
hg_sample_16	BINNY	686.9833333333333	79.5	2.3
hg_sample_7	BINNY	441.01666666666665	74.9	1.8
hg_sample_19	BINNY	697.3	77.8	2.3
hg_sample_6	BINNY	475.03333333333336	76.1	0.97216796875
hg_sample_1	BINNY	715.5833333333334	74.5	2.0
hg_sample_9	BINNY	543.3166666666667	76.3	1.0
hg_sample_8	BINNY	549.2333333333333	81.2	2.0
hg_sample_0	BINNY	630.3833333333333	79.6	2.0
hg_sample_17	BINNY	771.3	82.1	1.9
hg_sample_18	BINNY	866.1666666666666	84.9	2.1
m_sample_7	MAXBIN2	50.733333333333334	401.8	2.2
m_sample_6	MAXBIN2	58.55	374.2	2.4
m_sample_4	MAXBIN2	43.6	444.9	2.4
m_sample_0	MAXBIN2	52.083333333333336	397.3	2.1
m_sample_1	MAXBIN2	54.766666666666666	390.4	2.8
m_sample_5	MAXBIN2	48.63333333333333	404.3	2.5
m_sample_3	MAXBIN2	58.266666666666666	365.2	2.0
m_sample_2	MAXBIN2	63.25	353.4	2.1
m_sample_9	MAXBIN2	55.416666666666664	390.7	2.4
m_sample_8	MAXBIN2	62.03333333333333	360.2	2.1
m_sample_6	METABAT2	9.65	1368.3	0.46845703125
m_sample_7	METABAT2	7.516666666666667	1360.1	0.42666015625
m_sample_6	SEMIBIN2	17.083333333333332	575.3	111.8
m_sample_7	SEMIBIN2	16.85	570.4	83.2
m_sample_4	METABAT2	11.65	794.1	0.34072265625
m_sample_4	SEMIBIN2	14.216666666666667	561.2	65.7
m_sample_4	CONCOCT	46.3	1329.2	0.5255859375
m_sample_7	CONCOCT	66.43333333333334	1372.6	0.57587890625
m_sample_6	CONCOCT	95.96666666666667	1425.3	0.6041015625
m_sample_4	METABINNER	94.13333333333334	376.8	3.0
m_sample_7	METABINNER	104.73333333333333	398.5	3.3
m_sample_6	METABINNER	108.08333333333333	445.4	3.0
m_sample_1	SEMIBIN2	19.6	573.8	121.1
m_sample_1	METABAT2	11.6	1407.2	0.46728515625
m_sample_1	CONCOCT	56.516666666666666	1385.5	0.63388671875
m_sample_0	METABAT2	8.35	1395.2	0.453125
m_sample_0	SEMIBIN2	16.4	561.0	98.1
m_sample_2	METABAT2	10.85	1383.4	0.47001953125
m_sample_2	SEMIBIN2	18.266666666666666	554.6	143.0
m_sample_3	METABAT2	9.65	1386.0	0.46982421875
m_sample_0	METABINNER	114.01666666666667	456.0	2.6
m_sample_1	METABINNER	125.2	472.9	2.9
m_sample_3	SEMIBIN2	17.4	571.1	126.1
m_sample_3	METABINNER	114.03333333333333	436.2	2.5
m_sample_2	METABINNER	119.36666666666666	467.9	2.8
m_sample_5	METABINNER	95.41666666666667	399.8	3.0
m_sample_9	METABINNER	103.01666666666667	403.6	4.6
m_sample_0	CONCOCT	121.23333333333333	1458.7	0.56943359375
