sampleID	task	realtime_M	cpu	peak_rss_G
hg_sample_0	CONCOCT	13.05	59.8125	0.39091796875
hg_sample_0	SemiBin2	12.25	26.76875	31.6
hg_sample_13	CONCOCT	24.816666666666666	75.63125	0.42529296875
hg_sample_14	CONCOCT	32.3	82.98125	0.42529296875
hg_sample_15	CONCOCT	29.483333333333334	83.29375	0.4318359375
hg_sample_17	MetaBAT2	3.5666666666666664	49.28125	0.3162109375
hg_sample_17	CONCOCT	11.4	61.85625	0.41552734375
hg_sample_12	MetaBinner	47.38333333333333	34.6	7.0
hg_sample_17	SemiBin2	11.666666666666666	27.35	29.7
hg_sample_11	MetaBinner	56.333333333333336	38.5875	3.4
hg_sample_18	MetaBAT2	5.5	49.38125	0.3947265625
hg_sample_12	COMEBin	60.78333333333333	58.575	13.4
hg_sample_10	MetaBinner	61.483333333333334	41.9625	4.3
hg_sample_18	CONCOCT	16.416666666666668	71.44375	0.43662109375
hg_sample_18	SemiBin2	13.883333333333333	29.30625	38.4
hg_sample_19	MetaBAT2	5.05	54.65625	0.280078125
hg_sample_19	SemiBin2	11.35	26.36875	46.0
hg_sample_10	COMEBin	80.63333333333334	63.7125	13.8
hg_sample_19	CONCOCT	21.866666666666667	77.2375	0.4306640625
hg_sample_1	MetaBAT2	4.55	49.9	0.33017578125
hg_sample_14	MetaBinner	84.18333333333334	40.0375	2.1
hg_sample_1	CONCOCT	9.7	55.14375	0.39697265625
hg_sample_15	MetaBinner	82.56666666666666	39.4625	2.3
hg_sample_4	MetaBAT2	0.15	47.15	0.19091796875
hg_sample_4	CONCOCT	7.15	49.925	0.33232421875
hg_sample_13	MetaBinner	88.96666666666667	38.8875	2.2
hg_sample_1	SemiBin2	12.483333333333333	27.00625	31.1
hg_sample_2	MetaBAT2	1.1166666666666667	54.9625	0.1787109375
hg_sample_2	CONCOCT	6.3	34.8125	0.3205078125
hg_sample_4	SemiBin2	12.466666666666667	22.55	10.7
hg_sample_5	MetaBAT2	0.13333333333333333	44.3125	0.10478515625
hg_sample_5	CONCOCT	3.45	16.99375	0.245703125
hg_sample_2	SemiBin2	9.616666666666667	21.3875	16.7
hg_sample_5	SemiBin2	7.333333333333333	19.5875	1.7
hg_sample_3	MetaBAT2	0.06666666666666667	54.38125	0.17548828125
hg_sample_0	MetaBinner	101.98333333333333	31.3375	4.0
hg_sample_3	CONCOCT	7.683333333333334	53.9	0.25791015625
hg_sample_16	MetaBinner	107.8	35.2	3.7
hg_sample_11	COMEBin	124.95	79.6375	14.3
hg_sample_3	SemiBin2	12.95	20.425	12.2
hg_sample_19	MetaBinner	76.0	46.1	2.1
hg_sample_4	MetaBinner	53.35	37.9	5.8
hg_sample_17	MetaBinner	113.83333333333333	38.675	2.6
hg_sample_5	MetaBinner	52.75	22.25	3.9
hg_sample_2	MetaBinner	70.48333333333333	35.4875	4.6
hg_sample_5	COMEBin	57.6	62.2125	13.7
hg_sample_18	MetaBinner	106.13333333333334	45.8625	3.7
hg_sample_3	MetaBinner	50.9	40.8125	5.4
hg_sample_7	CONCOCT	26.533333333333335	82.4375	0.33359375
hg_sample_1	MetaBinner	104.4	32.3125	4.0
hg_sample_2	COMEBin	101.8	74.3875	14.2
hg_sample_4	COMEBin	106.06666666666666	75.8875	14.0
hg_sample_3	COMEBin	102.03333333333333	72.9875	14.1
hg_sample_7	MetaBinner	68.3	35.0875	1.8
hg_sample_15	COMEBin	220.26666666666668	85.3375	14.7
hg_sample_16	COMEBin	232.55	84.875	14.6
hg_sample_13	COMEBin	236.2	84.55	14.7
hg_sample_1	COMEBin	208.6	84.6625	14.5
hg_sample_14	COMEBin	307.06666666666666	89.875	14.7
hg_sample_18	COMEBin	271.95	85.1125	14.6
hg_sample_6	MetaBinner	71.23333333333333	35.275	2.6
hg_sample_0	COMEBin	358.2	89.1125	14.5
hg_sample_5	binny	273.4166666666667	4.0875	0.8087890625
hg_sample_12	binny	383.6666666666667	4.3875	0.76845703125
hg_sample_9	MetaBinner	70.21666666666667	36.0	4.7
hg_sample_8	MetaBinner	76.6	38.225	2.4
hg_sample_7	COMEBin	238.61666666666667	89.2875	14.3
hg_sample_7	SemiBin2	7.383333333333334	22.0125	24.0
hg_sample_7	MetaBAT2	2.066666666666667	54.93125	0.17705078125
hg_sample_19	COMEBin	355.53333333333336	91.8375	14.8
hg_sample_6	MetaBAT2	0.5333333333333333	49.49375	0.18271484375
hg_sample_9	COMEBin	113.41666666666667	72.15	13.9
hg_sample_6	COMEBin	128.06666666666666	78.95	14.0
hg_sample_9	MetaBAT2	0.05	51.49375	0.19775390625
hg_sample_6	CONCOCT	6.616666666666667	47.85	0.3033203125
hg_sample_6	SemiBin2	9.9	30.7	8.9
hg_sample_9	CONCOCT	7.633333333333333	50.78125	0.28056640625
hg_sample_8	MetaBAT2	4.233333333333333	50.2875	0.2130859375
hg_sample_17	COMEBin	392.23333333333335	89.9125	14.5
hg_sample_8	SemiBin2	8.8	24.61875	33.6
hg_sample_9	SemiBin2	10.516666666666667	24.45625	2.1
hg_sample_8	CONCOCT	25.8	82.0625	0.341796875
hg_sample_11	binny	482.68333333333334	4.7125	2.0
hg_sample_4	binny	471.8	4.35625	1.3
hg_sample_10	binny	561.3666666666667	4.6875	1.0
hg_sample_3	binny	470.9	4.5875	1.1
hg_sample_2	binny	510.95	4.6	1.5
hg_sample_8	COMEBin	305.3	90.0125	14.5
hg_sample_14	binny	640.7666666666667	4.93125	2.3
hg_sample_13	binny	636.7166666666667	4.9625	2.2
hg_sample_15	binny	639.7666666666667	4.96875	2.1
hg_sample_16	binny	686.9833333333333	4.96875	2.3
hg_sample_7	binny	441.01666666666665	4.68125	1.8
hg_sample_19	binny	697.3	4.8625	2.3
hg_sample_6	binny	475.03333333333336	4.75625	0.97216796875
hg_sample_1	binny	715.5833333333334	4.65625	2.0
hg_sample_9	binny	543.3166666666667	4.76875	1.0
